Old State	Action		New State
2094.4		0.521		2292.04
2094.4		0.52		2291.58
2094.4		0.519		2291.12
2094.4		0.518		2290.65
2094.4		0.517		2290.19
2094.4		0.516		2289.73
2094.4		0.515		2289.26
2094.4		0.514		2288.8
2094.4		0.513		2288.34
2094.4		0.512		2287.88
2094.4		0.511		2287.41
2094.4		0.51		2286.95
2094.4		0.509		2286.4899
2094.4		0.508		2286.02
2094.4		0.507		2285.56
2094.4		0.506		2285.1
2094.4		0.505		2284.64
2094.4		0.504		2284.17
2094.4		0.503		2283.71
2094.4		0.502		2283.25
2094.4		0.501		2282.79
2094.4		0.5		2282.32
2094.4		0.499		2281.86
2094.4		0.498		2281.4
2094.4		0.497		2280.94
2094.4		0.496		2280.4699
2094.4		0.495		2280.01
2094.4		0.494		2279.55
2094.4		0.493		2279.09
2094.4		0.492		2278.62
2094.4		0.491		2278.16
2094.4		0.49		2277.7
2094.4		0.489		2277.2399
2094.4		0.488		2276.78
2094.4		0.487		2276.31
2094.4		0.486		2275.85
2094.4		0.485		2275.39
2094.4		0.484		2274.93
2094.4		0.483		2274.46
2094.4		0.482		2274.0
2094.4		0.481		2273.54
2094.4		0.48		2273.08
2094.4		0.479		2272.62
2094.4		0.478		2272.15
2094.4		0.477		2271.69
2094.4		0.476		2271.23
2094.4		0.475		2270.77
2094.4		0.474		2270.31
2094.4		0.473		2269.85
2094.4		0.472		2269.39
2094.4		0.471		2268.92
2094.4		0.47		2268.46
2094.4		0.469		2268.0
2094.4		0.468		2267.54
2094.4		0.467		2267.08
2094.4		0.466		2266.62
2094.4		0.465		2266.15
2094.4		0.464		2265.69
2094.4		0.463		2265.23
2094.4		0.462		2264.77
2094.4		0.461		2264.31
2094.4		0.46		2263.85
2094.4		0.459		2263.39
2094.4		0.458		2262.92
2094.4		0.457		2262.46
2094.4		0.456		2262.0
2094.4		0.455		2261.54
2094.4		0.454		2261.08
2094.4		0.453		2260.62
2094.4		0.452		2260.16
2094.4		0.451		2259.7
2094.4		0.45		2259.2399
2094.4		0.449		2258.77
2094.4		0.448		2258.31
2094.4		0.447		2257.85
2094.4		0.446		2257.39
2094.4		0.445		2256.93
2094.4		0.444		2256.4699
2094.4		0.443		2256.01
2094.4		0.442		2255.55
2094.4		0.441		2255.09
2094.4		0.44		2254.63
2094.4		0.439		2254.17
2094.4		0.438		2253.71
2094.4		0.437		2253.25
2094.4		0.436		2252.79
2094.4		0.435		2252.32
2094.4		0.434		2251.86
2094.4		0.433		2251.4
2094.4		0.432		2250.94
2094.4		0.431		2250.48
2094.4		0.43		2250.02
2094.4		0.429		2249.56
2094.4		0.428		2249.1
2094.4		0.427		2248.64
2094.4		0.426		2248.18
2094.4		0.425		2247.7199
2094.4		0.424		2247.26
2094.4		0.423		2246.8
2094.4		0.422		2246.34
2094.4		0.421		2245.88
2094.4		0.42		2245.42
2094.4		0.419		2244.96
2094.4		0.418		2244.5
2094.4		0.417		2244.04
2094.4		0.416		2243.58
2094.4		0.415		2243.12
2094.4		0.414		2242.66
2094.4		0.413		2242.2
2094.4		0.412		2241.7399
2094.4		0.411		2241.28
2094.4		0.41		2240.82
2094.4		0.409		2240.36
2094.4		0.408		2239.9
2094.4		0.407		2239.44
2094.4		0.406		2238.98
2094.4		0.405		2238.52
2094.4		0.404		2238.06
2094.4		0.403		2237.6
2094.4		0.402		2237.14
2094.4		0.401		2236.68
2094.4		0.4		2236.23
2094.4		0.399		2235.77
2094.4		0.398		2235.31
2094.4		0.397		2234.85
2094.4		0.396		2234.39
2094.4		0.395		2233.93
2094.4		0.394		2233.4699
2094.4		0.393		2233.01
2094.4		0.392		2232.55
2094.4		0.391		2232.09
2094.4		0.39		2231.63
2094.4		0.389		2231.17
2094.4		0.388		2230.71
2094.4		0.387		2230.25
2094.4		0.386		2229.8
2094.4		0.385		2229.34
2094.4		0.384		2228.88
2094.4		0.383		2228.42
2094.4		0.382		2227.96
2094.4		0.381		2227.5
2094.4		0.38		2227.04
2094.4		0.379		2226.58
2094.4		0.378		2226.12
2094.4		0.377		2225.67
2094.4		0.376		2225.21
2094.4		0.375		2224.75
2094.4		0.374		2224.29
2094.4		0.373		2223.83
2094.4		0.372		2223.37
2094.4		0.371		2222.91
2094.4		0.37		2222.45
2094.4		0.369		2222.0
2094.4		0.368		2221.54
2094.4		0.367		2221.08
2094.4		0.366		2220.62
2094.4		0.365		2220.16
2094.4		0.364		2219.7
2094.4		0.363		2219.25
2094.4		0.362		2218.79
2094.4		0.361		2218.33
2094.4		0.36		2217.87
2094.4		0.359		2217.41
2094.4		0.358		2216.95
2094.4		0.357		2216.5
2094.4		0.356		2216.04
2094.4		0.355		2215.58
2094.4		0.354		2215.12
2094.4		0.353		2214.66
2094.4		0.352		2214.21
2094.4		0.351		2213.75
2094.4		0.35		2213.29
2094.4		0.349		2212.83
2094.4		0.348		2212.37
2094.4		0.347		2211.92
2094.4		0.346		2211.46
2094.4		0.345		2211.0
2094.4		0.344		2210.54
2094.4		0.343		2210.09
2094.4		0.342		2209.63
2094.4		0.341		2209.17
2094.4		0.34		2208.71
2094.4		0.339		2208.25
2094.4		0.338		2207.8
2094.4		0.337		2207.34
2094.4		0.336		2206.88
2094.4		0.335		2206.42
2094.4		0.334		2205.9699
2094.4		0.333		2205.51
2094.4		0.332		2205.05
2094.4		0.331		2204.59
2094.4		0.33		2204.14
2094.4		0.329		2203.68
2094.4		0.328		2203.2199
2094.4		0.327		2202.77
2094.4		0.326		2202.31
2094.4		0.325		2201.85
2094.4		0.324		2201.39
2094.4		0.323		2200.94
2094.4		0.322		2200.48
2094.4		0.321		2200.02
2094.4		0.32		2199.57
2094.4		0.319		2199.11
2094.4		0.318		2198.65
2094.4		0.317		2198.19
2094.4		0.316		2197.7399
2094.4		0.315		2197.28
2094.4		0.314		2196.82
2094.4		0.313		2196.37
2094.4		0.312		2195.91
2094.4		0.311		2195.45
2094.4		0.31		2195.0
2094.4		0.309		2194.54
2094.4		0.308		2194.08
2094.4		0.307		2193.63
2094.4		0.306		2193.17
2094.4		0.305		2192.71
2094.4		0.304		2192.26
2094.4		0.303		2191.8
2094.4		0.302		2191.34
2094.4		0.301		2190.89
2094.4		0.3		2190.43
2094.4		0.299		2189.9699
2094.4		0.298		2189.52
2094.4		0.297		2189.06
2094.4		0.296		2188.6
2094.4		0.295		2188.15
2094.4		0.294		2187.69
2094.4		0.293		2187.2399
2094.4		0.292		2186.78
2094.4		0.291		2186.32
2094.4		0.29		2185.87
2094.4		0.289		2185.41
2094.4		0.288		2184.96
2094.4		0.287		2184.5
2094.4		0.286		2184.04
2094.4		0.285		2183.59
2094.4		0.284		2183.13
2094.4		0.283		2182.68
2094.4		0.282		2182.2199
2094.4		0.281		2181.76
2094.4		0.28		2181.31
2094.4		0.279		2180.85
2094.4		0.278		2180.4
2094.4		0.277		2179.94
2094.4		0.276		2179.48
2094.4		0.275		2179.03
2094.4		0.274		2178.57
2094.4		0.273		2178.12
2094.4		0.272		2177.66
2094.4		0.271		2177.21
2094.4		0.27		2176.75
2094.4		0.269		2176.3
2094.4		0.268		2175.84
2094.4		0.267		2175.38
2094.4		0.266		2174.93
2094.4		0.265		2174.4699
2094.4		0.264		2174.02
2094.4		0.263		2173.56
2094.4		0.262		2173.11
2094.4		0.261		2172.65
2094.4		0.26		2172.2
2094.4		0.259		2171.7399
2094.4		0.258		2171.29
2094.4		0.257		2170.83
2094.4		0.256		2170.38
2094.4		0.255		2169.92
2094.4		0.254		2169.4699
2094.4		0.253		2169.01
2094.4		0.252		2168.56
2094.4		0.251		2168.1
2094.4		0.25		2167.65
2094.4		0.249		2167.19
2094.4		0.248		2166.7399
2094.4		0.247		2166.28
2094.4		0.246		2165.83
2094.4		0.245		2165.37
2094.4		0.244		2164.92
2094.4		0.243		2164.46
2094.4		0.242		2164.01
2094.4		0.241		2163.55
2094.4		0.24		2163.1
2094.4		0.239		2162.64
2094.4		0.238		2162.19
2094.4		0.237		2161.7399
2094.4		0.236		2161.28
2094.4		0.235		2160.83
2094.4		0.234		2160.37
2094.4		0.233		2159.92
2094.4		0.232		2159.46
2094.4		0.231		2159.01
2094.4		0.23		2158.55
2094.4		0.229		2158.1
2094.4		0.228		2157.65
2094.4		0.227		2157.19
2094.4		0.226		2156.7399
2094.4		0.225		2156.28
2094.4		0.224		2155.83
2094.4		0.223		2155.37
2094.4		0.222		2154.92
2094.4		0.221		2154.4699
2094.4		0.22		2154.01
2094.4		0.219		2153.56
2094.4		0.218		2153.1
2094.4		0.217		2152.65
2094.4		0.216		2152.2
2094.4		0.215		2151.7399
2094.4		0.214		2151.29
2094.4		0.213		2150.83
2094.4		0.212		2150.38
2094.4		0.211		2149.93
2094.4		0.21		2149.4699
2094.4		0.209		2149.02
2094.4		0.208		2148.57
2094.4		0.207		2148.11
2094.4		0.206		2147.66
2094.4		0.205		2147.21
2094.4		0.204		2146.75
2094.4		0.203		2146.3
2094.4		0.202		2145.84
2094.4		0.201		2145.39
2094.4		0.2		2144.94
2094.4		0.199		2144.48
2094.4		0.198		2144.03
2094.4		0.197		2143.58
2094.4		0.196		2143.12
2094.4		0.195		2142.67
2094.4		0.194		2142.2199
2094.4		0.193		2141.76
2094.4		0.192		2141.31
2094.4		0.191		2140.86
2094.4		0.19		2140.41
2094.4		0.189		2139.95
2094.4		0.188		2139.5
2094.4		0.187		2139.05
2094.4		0.186		2138.59
2094.4		0.185		2138.14
2094.4		0.184		2137.69
2094.4		0.183		2137.23
2094.4		0.182		2136.78
2094.4		0.181		2136.33
2094.4		0.18		2135.88
2094.4		0.179		2135.42
2094.4		0.178		2134.9699
2094.4		0.177		2134.52
2094.4		0.176		2134.06
2094.4		0.175		2133.61
2094.4		0.174		2133.16
2094.4		0.173		2132.71
2094.4		0.172		2132.25
2094.4		0.171		2131.8
2094.4		0.17		2131.35
2094.4		0.169		2130.9
2094.4		0.168		2130.44
2094.4		0.167		2129.9899
2094.4		0.166		2129.54
2094.4		0.165		2129.09
2094.4		0.164		2128.63
2094.4		0.163		2128.18
2094.4		0.162		2127.73
2094.4		0.161		2127.28
2094.4		0.16		2126.82
2094.4		0.159		2126.37
2094.4		0.158		2125.92
2094.4		0.157		2125.4699
2094.4		0.156		2125.02
2094.4		0.155		2124.56
2094.4		0.154		2124.11
2094.4		0.153		2123.66
2094.4		0.152		2123.21
2094.4		0.151		2122.76
2094.4		0.15		2122.3
2094.4		0.149		2121.85
2094.4		0.148		2121.4
2094.4		0.147		2120.95
2094.4		0.146		2120.5
2094.4		0.145		2120.04
2094.4		0.144		2119.59
2094.4		0.143		2119.14
2094.4		0.142		2118.69
2094.4		0.141		2118.2399
2094.4		0.14		2117.79
2094.4		0.139		2117.33
2094.4		0.138		2116.88
2094.4		0.137		2116.43
2094.4		0.136		2115.98
2094.4		0.135		2115.53
2094.4		0.134		2115.08
2094.4		0.133		2114.63
2094.4		0.132		2114.17
2094.4		0.131		2113.7199
2094.4		0.13		2113.27
2094.4		0.129		2112.82
2094.4		0.128		2112.37
2094.4		0.127		2111.92
2094.4		0.126		2111.4699
2094.4		0.125		2111.02
2094.4		0.124		2110.56
2094.4		0.123		2110.11
2094.4		0.122		2109.66
2094.4		0.121		2109.21
2094.4		0.12		2108.76
2094.4		0.119		2108.31
2094.4		0.118		2107.86
2094.4		0.117		2107.41
2094.4		0.116		2106.96
2094.4		0.115		2106.5
2094.4		0.114		2106.05
2094.4		0.113		2105.6
2094.4		0.112		2105.15
2094.4		0.111		2104.7
2094.4		0.11		2104.25
2094.4		0.109		2103.8
2094.4		0.108		2103.35
2094.4		0.107		2102.9
2094.4		0.106		2102.45
2094.4		0.105		2102.0
2094.4		0.104		2101.55
2094.4		0.103		2101.1
2094.4		0.102		2100.65
2094.4		0.101		2100.2
2094.4		0.1		2099.7399
2094.4		0.099		2099.29
2094.4		0.098		2098.84
2094.4		0.097		2098.39
2094.4		0.096		2097.94
2094.4		0.095		2097.4899
2094.4		0.094		2097.04
2094.4		0.093		2096.59
2094.4		0.092		2096.14
2094.4		0.091		2095.69
2094.4		0.09		2095.2399
2094.4		0.089		2094.79
2094.4		0.088		2094.4
2094.4		0.087		2098.32
2094.4		0.086		2098.28
2094.4		0.085		2097.65
2094.4		0.084		2097.56
2094.4		0.083		2096.79
2094.4		0.082		2096.66
2094.4		0.081		2095.76
2094.4		0.08		2095.58
2094.4		0.079		2095.4
2094.4		0.078		2094.4
2094.4		0.077		2094.4
2094.4		0.076		2094.4
2094.4		0.075		2094.4
2094.4		0.074		2094.4
2094.4		0.073		2096.56
2094.4		0.072		2096.4699
2094.4		0.071		2096.38
2094.4		0.07		2096.29
2094.4		0.069		2096.2
2094.4		0.068		2096.11
2094.4		0.067		2096.02
2094.4		0.066		2095.93
2094.4		0.065		2097.33
2094.4		0.064		2097.28
2094.4		0.063		2097.2399
2094.4		0.062		2097.19
2094.4		0.061		2097.15
2094.4		0.06		2097.1
2094.4		0.059		2097.06
2094.4		0.058		2097.01
2094.4		0.057		2096.9699
2094.4		0.056		2096.92
2094.4		0.055		2096.88
2094.4		0.054		2096.83
2094.4		0.052		2096.7399
2094.4		0.051		2096.7
2094.4		0.05		2096.65
2094.4		0.049		2096.61
2094.4		0.048		2094.4
2094.4		0.047		2094.4
2094.4		0.046		2094.4
2094.4		0.045		2094.4
2094.4		0.044		2094.4
2094.4		0.043		2094.4
2094.4		0.042		2094.4
2094.4		0.041		2094.4
2094.4		0.04		2094.4
2094.4		0.039		2094.4
2094.4		0.038		2094.4
2094.4		0.037		2094.4
2094.4		0.036		2094.4
2094.4		0.035		2094.4
2094.4		0.034		2094.4
2094.4		0.033		2094.4
2094.4		0.032		2094.4
2094.4		0.031		2094.4
2094.4		0.03		2094.4
2094.4		0.029		2094.4
2094.4		0.028		2094.4
2094.4		0.027		2094.4
2094.4		0.026		2094.4
2094.4		0.025		2094.4
2094.4		0.024		2094.4
2094.4		0.023		2094.4
2094.4		0.022		2094.4
2094.4		0.021		2094.4
2094.4		0.02		2094.4
2094.4		0.019		2094.4
2094.4		0.018		2094.4
2094.4		0.017		2094.4
2094.4		0.016		2094.4
2094.4		0.015		2094.4
2094.4		0.014		2094.4
2094.4		0.013		2094.4
2094.4		0.012		2094.4
2094.4		0.011		2094.4
2094.4		0.01		2094.4
2094.4		0.0090		2094.4
