"Steer","Gear","RPM","Speed","Distance","Min RPM","Max speed","Radius"
-0.764,1.000,7800.000,59.107,1849.241,2094.400,118.187,48.965
-0.764,2.000,8800.000,114.809,1965.644,5092.660,127.296,54.952
-0.764,3.000,8000.000,110.783,1965.644,3668.410,127.296,54.952
-0.764,4.000,7000.000,114.781,1965.644,4034.200,127.296,54.952
-0.763,1.000,7800.000,59.123,1849.608,2094.400,118.204,48.961
-0.763,2.000,8800.000,114.787,1966.712,5089.370,127.365,54.984
-0.763,3.000,8000.000,110.767,1966.712,3670.240,127.365,54.984
-0.763,4.000,7000.000,114.761,1966.712,4034.090,127.365,54.984
-0.762,1.000,7800.000,59.143,1850.009,2094.400,118.234,48.970
-0.762,2.000,8800.000,114.834,1967.763,5095.220,127.434,55.016
-0.762,3.000,8000.000,110.816,1967.763,3673.580,127.434,55.016
-0.762,4.000,7000.000,114.807,1967.763,4035.810,127.434,55.016
-0.761,1.000,7800.000,59.142,1850.424,2094.400,118.253,48.968
-0.761,2.000,8800.000,114.812,1968.826,5094.160,127.503,55.048
-0.761,3.000,8000.000,110.798,1968.826,3676.580,127.503,55.048
-0.761,4.000,7000.000,114.785,1968.826,4035.680,127.503,55.048
-0.760,1.000,7800.000,59.157,1850.717,2094.400,118.275,48.969
-0.760,2.000,8800.000,114.845,1969.807,5099.650,127.573,55.080
-0.760,3.000,8000.000,110.834,1969.807,3684.090,127.573,55.080
-0.760,4.000,7000.000,114.819,1969.807,4037.600,127.573,55.080
-0.759,1.000,7800.000,59.173,1851.138,2094.400,118.296,48.971
-0.759,2.000,8800.000,114.830,1970.906,5088.840,127.642,55.112
-0.759,3.000,8000.000,110.825,1970.906,3681.650,127.642,55.112
-0.759,4.000,7000.000,114.805,1970.906,4037.740,127.642,55.112
-0.758,1.000,7800.000,59.191,1851.498,2094.400,118.318,48.971
-0.758,2.000,8800.000,114.874,1971.946,5091.530,127.711,55.142
-0.758,3.000,8000.000,110.872,1971.946,3683.390,127.711,55.142
-0.758,4.000,7000.000,114.849,1971.946,4040.080,127.711,55.142
-0.757,1.000,7800.000,59.208,1851.876,2094.400,118.339,48.973
-0.757,2.000,8800.000,114.849,1973.006,5090.690,127.780,55.175
-0.757,3.000,8000.000,110.851,1973.006,3686.600,127.780,55.175
-0.757,4.000,7000.000,114.825,1973.006,4039.840,127.780,55.175
-0.756,1.000,7800.000,59.220,1852.196,2094.400,118.360,48.977
-0.756,2.000,8800.000,114.884,1974.008,5088.090,127.850,55.206
-0.756,3.000,8000.000,110.889,1974.008,3682.710,127.850,55.206
-0.756,4.000,7000.000,114.860,1974.008,4041.810,127.850,55.206
-0.755,1.000,7800.000,59.228,1852.553,2094.400,118.381,48.978
-0.755,2.000,8800.000,114.928,1975.046,5086.220,127.919,55.239
-0.755,3.000,8000.000,110.936,1975.046,3689.270,127.919,55.239
-0.755,4.000,7000.000,114.904,1975.046,4044.140,127.919,55.239
-0.754,1.000,8800.000,69.715,1852.916,2094.400,118.401,48.977
-0.754,2.000,8800.000,114.910,1975.846,5093.520,127.988,55.271
-0.754,3.000,8000.000,110.923,1975.846,3385.430,127.988,55.271
-0.754,4.000,7000.000,114.886,1975.846,4044.190,127.988,55.271
-0.753,1.000,7800.000,59.257,1853.270,2094.400,118.424,48.983
-0.753,2.000,8800.000,114.950,1977.150,5097.790,128.058,55.303
-0.753,3.000,8000.000,110.965,1977.150,3695.160,128.058,55.303
-0.753,4.000,7000.000,114.926,1977.150,4047.000,128.058,55.303
-0.752,1.000,8800.000,69.754,1853.702,2094.400,118.448,48.980
-0.752,2.000,8800.000,114.932,1977.956,5088.910,128.127,55.335
-0.752,3.000,8000.000,110.953,1977.956,3389.180,128.127,55.335
-0.752,4.000,7000.000,114.909,1977.956,4047.050,128.127,55.335
-0.751,1.000,7800.000,59.291,1854.041,2094.400,118.467,48.974
-0.751,2.000,8800.000,114.961,1979.225,5081.350,128.196,55.367
-0.751,3.000,8000.000,110.985,1979.225,3690.850,128.196,55.367
-0.751,4.000,7000.000,114.939,1979.225,4048.820,128.196,55.367
-0.750,1.000,7800.000,59.305,1854.382,2094.400,118.488,49.361
-0.750,2.000,8800.000,115.005,1980.262,5082.490,128.266,55.398
