OldState	Action		NewState
3928.42		0.63		4227.07
3928.42		0.62		4221.15
3928.42		0.61		4215.22
3928.42		0.6		4209.3
3928.42		0.59		4203.37
3928.42		0.58		4197.45
3928.42		0.57		4191.54
3928.42		0.56		4185.63
3928.42		0.55		4179.72
3928.42		0.54		4173.81
3928.42		0.53		4167.91
3928.42		0.52		4162.01
3928.42		0.51		4156.11
3928.42		0.5		4150.22
3928.42		0.49		4144.33
3928.42		0.48		4138.4399
3928.42		0.47		4132.56
3928.42		0.46		4126.68
3928.42		0.45		4120.8
3928.42		0.44		4114.93
3928.42		0.43		4109.06
3928.42		0.42		4103.1899
3928.42		0.41		4097.33
3928.42		0.4		4091.47
3928.42		0.39		4085.61
3928.42		0.38		4079.76
3928.42		0.37		4073.91
3928.42		0.36		4068.06
3928.42		0.35		4062.22
3928.42		0.34		4056.38
3928.42		0.33		4050.55
3928.42		0.32		4044.71
3928.42		0.31		4038.88
3928.42		0.3		4033.06
3928.42		0.29		4027.23
3928.42		0.28		4021.41
3928.42		0.27		4015.6
3928.42		0.26		4009.78
3928.42		0.25		4003.97
3928.42		0.24		3998.17
3928.42		0.23		3992.36
3928.42		0.22		3986.56
3928.42		0.21		3980.77
3928.42		0.2		3974.97
3928.42		0.19		3969.18
3928.42		0.18		3963.4
3928.42		0.17		3957.61
3928.42		0.16		3951.83
3928.42		0.15		3946.05
3928.42		0.14		3940.28
3928.42		0.13		3934.51
3928.42		0.12		3928.74
3928.42		0.11		3922.98
3928.42		0.1		3917.22
3928.42		0.09		3911.46
3928.42		0.08		3905.71
3928.42		0.07		3899.96
3928.42		0.06		3894.21
3928.42		0.05		3888.46
3928.42		0.04		3882.72
3928.42		0.03		3876.98
3928.42		0.02		3871.25
3928.42		0.01		3865.52
3928.42		0.0		3859.79
4447.15		1.0		4975.87
4447.15		0.99		4969.76
4447.15		0.98		4963.64
4447.15		0.97		4957.53
4447.15		0.96		4951.42
4447.15		0.95		4945.3
4447.15		0.94		4939.2
4447.15		0.93		4933.09
4447.15		0.92		4926.9799
4447.15		0.91		4920.88
4447.15		0.9		4914.77
4447.15		0.89		4908.67
4447.15		0.88		4902.57
4447.15		0.87		4896.47
4447.15		0.86		4890.38
4447.15		0.85		4884.28
4447.15		0.84		4878.18
4447.15		0.83		4872.09
4447.15		0.82		4866.0
4447.15		0.81		4859.91
4447.15		0.8		4853.82
4447.15		0.79		4847.7299
4447.15		0.78		4841.65
4447.15		0.77		4835.57
4447.15		0.76		4829.4799
4447.15		0.75		4823.4
4447.15		0.74		4817.32
4447.15		0.73		4811.24
4447.15		0.72		4805.17
4447.15		0.71		4799.09
4447.15		0.7		4793.02
4447.15		0.69		4786.95
4447.15		0.68		4780.88
4447.15		0.67		4774.81
4447.15		0.66		4768.74
4447.15		0.65		4762.67
4447.15		0.64		4756.61
4447.15		0.63		4750.54
4447.15		0.62		4744.4799
4447.15		0.61		4738.42
4447.15		0.6		4732.36
4447.15		0.59		4726.31
4447.15		0.58		4720.25
4447.15		0.57		4714.2
4447.15		0.56		4708.14
4447.15		0.55		4702.09
4447.15		0.54		4696.04
4447.15		0.53		4689.99
4447.15		0.52		4683.95
4447.15		0.51		4677.9
4447.15		0.5		4671.86
4447.15		0.49		4665.81
4447.15		0.48		4659.77
4447.15		0.47		4653.7299
4447.15		0.46		4647.7
4447.15		0.45		4641.66
4447.15		0.44		4635.62
4447.15		0.43		4629.59
4447.15		0.42		4623.56
4447.15		0.41		4617.53
4447.15		0.4		4611.5
4447.15		0.39		4605.47
4447.15		0.38		4599.4399
4447.15		0.37		4593.42
4447.15		0.36		4587.4
4447.15		0.35		4581.37
4447.15		0.34		4575.35
4447.15		0.33		4569.33
4447.15		0.32		4563.32
4447.15		0.31		4557.3
4447.15		0.3		4551.29
4447.15		0.29		4545.27
4447.15		0.28		4539.26
4447.15		0.27		4533.25
4447.15		0.26		4527.24
4447.15		0.25		4521.2299
4447.15		0.24		4515.2299
4447.15		0.23		4509.22
4447.15		0.22		4503.22
4447.15		0.21		4497.22
4447.15		0.2		4491.22
4447.15		0.19		4485.22
4447.15		0.18		4479.2299
4447.15		0.17		4473.2299
4447.15		0.16		4467.24
4447.15		0.15		4461.24
4447.15		0.14		4455.25
4447.15		0.13		4449.26
